image,filter,psnr,ssim
canguru.bmp,box3,26.169798658067943,0.6371602220823783
canguru.bmp,gauss5,26.73586917404382,0.6719140772109045
canguru.bmp,median5,24.991177489217122,0.48558099485866374
canguru.bmp,bilateral,25.652132935253157,0.5391006673023389
canguru.bmp,ideal_cut20,23.23013161925583,0.3256586719788941
canguru.bmp,ideal_cut40,24.51678133273426,0.4521679828216478
canguru.bmp,gauss_sigma10,22.35983160526797,0.2883278503391943
cavalo.bmp,box3,21.176234385922843,0.5864763317980424
cavalo.bmp,gauss5,21.65879055122156,0.6229136904404651
cavalo.bmp,median5,19.534026425644793,0.374336456825721
cavalo.bmp,bilateral,21.417179824263002,0.5507061638914186
cavalo.bmp,ideal_cut20,18.105413936088603,0.18925056577756733
cavalo.bmp,ideal_cut40,19.129552296739707,0.3227158595927044
cavalo.bmp,gauss_sigma10,17.756583298352663,0.1613184425917632
indio.bmp,box3,26.356101670037045,0.7100451797292261
indio.bmp,gauss5,26.775065554273013,0.7530736663349767
indio.bmp,median5,26.101308357154934,0.6939320349303736
indio.bmp,bilateral,26.714241264384654,0.7726545407711232
indio.bmp,ideal_cut20,21.984187372389098,0.5803779312978143
indio.bmp,ideal_cut40,23.908461705223154,0.6401665495460345
indio.bmp,gauss_sigma10,20.79498888537803,0.5952690271405047
tigre.bmp,box3,25.774786572958362,0.6812368662696887
tigre.bmp,gauss5,26.132353476384434,0.7210393896875398
tigre.bmp,median5,23.84104293457048,0.5939524675170769
tigre.bmp,bilateral,25.9672947927978,0.6798573631719311
tigre.bmp,ideal_cut20,21.185462598020667,0.47446416907141015
tigre.bmp,ideal_cut40,22.5498677692581,0.5649919852253482
tigre.bmp,gauss_sigma10,20.768359038029942,0.46905220722773106
