image,sp,sr,orig_edges,ms_edges,jaccard,out_filtered,out_edges
canguru.bmp,5,10,45009,38078,0.6424250810468886,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr10_edges.png
canguru.bmp,5,20,45009,19316,0.3210046412288988,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr20_edges.png
canguru.bmp,5,30,45009,10584,0.17312034438371773,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr30_edges.png
canguru.bmp,5,40,45009,6650,0.10493444270955875,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp5_sr40_edges.png
canguru.bmp,10,10,45009,36400,0.6277893305606654,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr10_edges.png
canguru.bmp,10,20,45009,17517,0.29668187474077146,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr20_edges.png
canguru.bmp,10,30,45009,9332,0.1518292424435118,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr30_edges.png
canguru.bmp,10,40,45009,6165,0.0954276907269458,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp10_sr40_edges.png
canguru.bmp,20,10,45009,35940,0.6339469540995519,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr10_edges.png
canguru.bmp,20,20,45009,17244,0.29303146744210196,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr20_edges.png
canguru.bmp,20,30,45009,10335,0.16764420439681,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr30_edges.png
canguru.bmp,20,40,45009,6477,0.0983914323505568,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr40.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp20_sr40_edges.png
canguru.bmp,30,10,45009,36037,0.646306039123281,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr10.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr10_edges.png
canguru.bmp,30,20,45009,17201,0.29641978910515565,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr20.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr20_edges.png
canguru.bmp,30,30,45009,10553,0.16817694426339802,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr30.png,C:\Users\diego\pro\python\FACULDADE_99\COMPUTACAO_GRAFICA\CG_LISTA1\VC_LISTA1\results_5\group1\canguru\canguru_ms_sp30_sr30_edges.png
